,Equip Local,Equip Visitant,Resultat,Competició,Jornada,Data,Gols Local,Gols Visitant,Resultat per FCB
396,FC Barcelona,Vila-real,4-1,La Liga,Jornada 36,2017-05-06,4,1,Guanya
397,Las Palmas,FC Barcelona,1-4,La Liga,Jornada 37,2017-05-14,1,4,Guanya
398,FC Barcelona,Eibar,4-2,La Liga,Jornada 38,2017-05-21,4,2,Guanya
399,FC Barcelona,Alabès,3-1,Copa del Rei,Final,2017-05-27,3,1,Guanya
400,Juventus,FC Barcelona,1-2,International Champions Cup,Jornada 0,2017-07-23,1,2,Guanya
401,FC Barcelona,Man. United,1-0,International Champions Cup,Jornada 0,2017-07-27,1,0,Guanya
402,Reial Madrid,FC Barcelona,2-3,International Champions Cup,Jornada 0,2017-07-30,2,3,Guanya
403,Gimnàstic T.,FC Barcelona,1-1,Amistosos,Jornada 0,2017-08-04,1,1,Empata
404,FC Barcelona,Chapecoense,5-0,Trofeu Joan Gamper,Final,2017-08-07,5,0,Guanya
405,FC Barcelona,Reial Madrid,1-3,Supercopa d'Espanya,Final,2017-08-13,1,3,Perd
406,Reial Madrid,FC Barcelona,2-0,Supercopa d'Espanya,Final - Tornada,2017-08-16,2,0,Perd
407,FC Barcelona,Betis,2-0,La Liga,Jornada 1,2017-08-20,2,0,Guanya
408,Alabès,FC Barcelona,0-2,La Liga,Jornada 2,2017-08-26,0,2,Guanya
409,FC Barcelona,Espanyol,5-0,La Liga,Jornada 3,2017-09-09,5,0,Guanya
410,FC Barcelona,Juventus,3-0,Lliga de Campions,Fase de grups - D,2017-09-12,3,0,Guanya
411,Getafe,FC Barcelona,1-2,La Liga,Jornada 4,2017-09-16,1,2,Guanya
412,FC Barcelona,Eibar,6-1,La Liga,Jornada 5,2017-09-19,6,1,Guanya
413,Girona,FC Barcelona,0-3,La Liga,Jornada 6,2017-09-23,0,3,Guanya
414,Sporting CP,FC Barcelona,0-1,Lliga de Campions,Fase de grups - D,2017-09-27,0,1,Guanya
415,FC Barcelona,Las Palmas,3-0,La Liga,Jornada 7,2017-10-01,3,0,Guanya
416,At. Madrid,FC Barcelona,1-1,La Liga,Jornada 8,2017-10-14,1,1,Empata
417,FC Barcelona,Olympiacos,3-1,Lliga de Campions,Fase de grups - D,2017-10-18,3,1,Guanya
418,FC Barcelona,Màlaga,2-0,La Liga,Jornada 9,2017-10-21,2,0,Guanya
419,Múrcia,FC Barcelona,0-3,Copa del Rei,6a ronda - Anada,2017-10-24,0,3,Guanya
420,Ath. Club,FC Barcelona,0-2,La Liga,Jornada 10,2017-10-28,0,2,Guanya
421,Olympiacos,FC Barcelona,0-0,Lliga de Campions,Fase de grups - D,2017-10-31,0,0,Empata
422,FC Barcelona,Sevilla,2-1,La Liga,Jornada 11,2017-11-04,2,1,Guanya
423,Leganés,FC Barcelona,0-3,La Liga,Jornada 12,2017-11-18,0,3,Guanya
424,Juventus,FC Barcelona,0-0,Lliga de Campions,Fase de grups - D,2017-11-22,0,0,Empata
425,València,FC Barcelona,1-1,La Liga,Jornada 13,2017-11-26,1,1,Empata
