,Equip Local,Equip Visitant,Resultat,Competició,Jornada,Data,Gols Local,Gols Visitant,Resultat per FCB
114,FC Barcelona,Reial Madrid,1-3,Copa del Rei,Semifinal,2013-02-26,1,3,Perd
115,Reial Madrid,FC Barcelona,2-1,La Liga,Jornada 26,2013-03-02,2,1,Perd
116,FC Barcelona,Deportivo,2-0,La Liga,Jornada 27,2013-03-09,2,0,Guanya
117,FC Barcelona,AC Milan,4-0,Lliga de Campions,Vuitens,2013-03-12,4,0,Guanya
118,FC Barcelona,Rayo Vallecano,3-1,La Liga,Jornada 28,2013-03-17,3,1,Guanya
119,Celta,FC Barcelona,2-2,La Liga,Jornada 29,2013-03-30,2,2,Empata
120,PSG,FC Barcelona,2-2,Lliga de Campions,Quarts,2013-04-02,2,2,Empata
121,FC Barcelona,Mallorca,5-0,La Liga,Jornada 30,2013-04-06,5,0,Guanya
122,FC Barcelona,PSG,1-1,Lliga de Campions,Quarts,2013-04-10,1,1,Empata
123,Reial Saragossa,FC Barcelona,0-3,La Liga,Jornada 31,2013-04-14,0,3,Guanya
124,Gimnàstic T.,FC Barcelona,0-1,Supercopa de Catalunya,Semifinal,2013-04-17,0,1,Guanya
125,FC Barcelona,Llevant,1-0,La Liga,Jornada 32,2013-04-20,1,0,Guanya
126,Bayern,FC Barcelona,4-0,Lliga de Campions,Semifinal,2013-04-23,4,0,Perd
127,Ath. Club,FC Barcelona,2-2,La Liga,Jornada 33,2013-04-27,2,2,Empata
128,FC Barcelona,Bayern,0-3,Lliga de Campions,Semifinal,2013-05-01,0,3,Perd
129,FC Barcelona,Betis,4-2,La Liga,Jornada 34,2013-05-05,4,2,Guanya
130,At. Madrid,FC Barcelona,1-2,La Liga,Jornada 35,2013-05-12,1,2,Guanya
131,FC Barcelona,R. Valladolid,2-1,La Liga,Jornada 36,2013-05-19,2,1,Guanya
132,Espanyol,FC Barcelona,0-2,La Liga,Jornada 37,2013-05-26,0,2,Guanya
133,Espanyol,FC Barcelona,1-1,Supercopa de Catalunya,Final,2013-05-29,1,1,Empata
134,FC Barcelona,Màlaga,4-1,La Liga,Jornada 38,2013-06-01,4,1,Guanya
135,Bayern,FC Barcelona,2-0,Amistosos,Jornada 0,2013-07-24,2,0,Perd
136,VAL,FC Barcelona,0-7,Amistosos,Jornada 0,2013-07-27,0,7,Guanya
137,LGA,FC Barcelona,2-2,Amistosos,Jornada 0,2013-07-30,2,2,Empata
138,FC Barcelona,SAN,8-0,Trofeu Joan Gamper,Jornada 0,2013-08-02,8,0,Guanya
139,Tailàndia,FC Barcelona,1-7,Amistosos,Jornada 0,2013-08-07,1,7,Guanya
140,MAL,FC Barcelona,1-3,Amistosos,Jornada 0,2013-08-10,1,3,Guanya
141,FC Barcelona,Llevant,7-0,La Liga,Jornada 1,2013-08-18,7,0,Guanya
142,At. Madrid,FC Barcelona,1-1,Supercopa d'Espanya,Final,2013-08-21,1,1,Empata
143,Màlaga,FC Barcelona,0-1,La Liga,Jornada 2,2013-08-25,0,1,Guanya
144,FC Barcelona,At. Madrid,0-0,Supercopa d'Espanya,Final,2013-08-28,0,0,Empata
145,València,FC Barcelona,2-3,La Liga,Jornada 3,2013-09-01,2,3,Guanya
146,FC Barcelona,Sevilla,3-2,La Liga,Jornada 4,2013-09-14,3,2,Guanya
147,FC Barcelona,Ajax,4-0,Lliga de Campions,Fase de grups - H,2013-09-18,4,0,Guanya
148,Rayo Vallecano,FC Barcelona,0-4,La Liga,Jornada 5,2013-09-21,0,4,Guanya
149,FC Barcelona,R. Societat,4-1,La Liga,Jornada 6,2013-09-24,4,1,Guanya
150,Almeria,FC Barcelona,0-2,La Liga,Jornada 7,2013-09-28,0,2,Guanya
151,Celtic,FC Barcelona,0-1,Lliga de Campions,Fase de grups - H,2013-10-01,0,1,Guanya
152,FC Barcelona,R. Valladolid,4-1,La Liga,Jornada 8,2013-10-05,4,1,Guanya
153,Osasuna,FC Barcelona,0-0,La Liga,Jornada 9,2013-10-19,0,0,Empata
154,AC Milan,FC Barcelona,1-1,Lliga de Campions,Fase de grups - H,2013-10-22,1,1,Empata
155,FC Barcelona,Reial Madrid,2-1,La Liga,Jornada 10,2013-10-26,2,1,Guanya
156,Celta,FC Barcelona,0-3,La Liga,Jornada 11,2013-10-29,0,3,Guanya
157,FC Barcelona,Espanyol,1-0,La Liga,Jornada 12,2013-11-01,1,0,Guanya
158,FC Barcelona,AC Milan,3-1,Lliga de Campions,Fase de grups - H,2013-11-06,3,1,Guanya
159,Betis,FC Barcelona,1-4,La Liga,Jornada 13,2013-11-10,1,4,Guanya
160,FC Barcelona,Granada,4-0,La Liga,Jornada 14,2013-11-23,4,0,Guanya
161,Ajax,FC Barcelona,2-1,Lliga de Campions,Fase de grups - H,2013-11-26,2,1,Perd
162,Ath. Club,FC Barcelona,1-0,La Liga,Jornada 15,2013-12-01,1,0,Perd
163,Cartagena,FC Barcelona,1-4,Copa del Rei,4a ronda,2013-12-06,1,4,Guanya
164,FC Barcelona,Celtic,6-1,Lliga de Campions,Fase de grups - H,2013-12-11,6,1,Guanya
165,FC Barcelona,Vila-real,2-1,La Liga,Jornada 16,2013-12-14,2,1,Guanya
166,FC Barcelona,Cartagena,3-0,Copa del Rei,4a ronda,2013-12-17,3,0,Guanya
167,Getafe,FC Barcelona,2-5,La Liga,Jornada 17,2013-12-22,2,5,Guanya
168,FC Barcelona,Elx CF,4-0,La Liga,Jornada 18,2014-01-05,4,0,Guanya
169,FC Barcelona,Getafe,4-0,Copa del Rei,Vuitens,2014-01-08,4,0,Guanya
170,At. Madrid,FC Barcelona,0-0,La Liga,Jornada 19,2014-01-11,0,0,Empata
171,Getafe,FC Barcelona,0-2,Copa del Rei,Vuitens,2014-01-16,0,2,Guanya
172,Llevant,FC Barcelona,1-1,La Liga,Jornada 20,2014-01-19,1,1,Empata
173,Llevant,FC Barcelona,1-4,Copa del Rei,Quarts,2014-01-22,1,4,Guanya
174,FC Barcelona,Màlaga,3-0,La Liga,Jornada 21,2014-01-26,3,0,Guanya
175,FC Barcelona,Llevant,5-1,Copa del Rei,Quarts,2014-01-29,5,1,Guanya
176,FC Barcelona,València,2-3,La Liga,Jornada 22,2014-02-01,2,3,Perd
177,FC Barcelona,R. Societat,2-0,Copa del Rei,Semifinal,2014-02-05,2,0,Guanya
178,Sevilla,FC Barcelona,1-4,La Liga,Jornada 23,2014-02-09,1,4,Guanya
179,R. Societat,FC Barcelona,1-1,Copa del Rei,Semifinal,2014-02-12,1,1,Empata
180,FC Barcelona,Rayo Vallecano,6-0,La Liga,Jornada 24,2014-02-15,6,0,Guanya
181,Manchester City,FC Barcelona,0-2,Lliga de Campions,Vuitens,2014-02-18,0,2,Guanya
182,R. Societat,FC Barcelona,3-1,La Liga,Jornada 25,2014-02-22,3,1,Perd
183,FC Barcelona,Almeria,4-1,La Liga,Jornada 26,2014-03-02,4,1,Guanya
184,R. Valladolid,FC Barcelona,1-0,La Liga,Jornada 27,2014-03-08,1,0,Perd
185,FC Barcelona,Manchester City,2-1,Lliga de Campions,Vuitens,2014-03-12,2,1,Guanya
186,FC Barcelona,Osasuna,7-0,La Liga,Jornada 28,2014-03-16,7,0,Guanya
187,Reial Madrid,FC Barcelona,3-4,La Liga,Jornada 29,2014-03-23,3,4,Guanya
188,FC Barcelona,Celta,3-0,La Liga,Jornada 30,2014-03-26,3,0,Guanya
189,Espanyol,FC Barcelona,0-1,La Liga,Jornada 31,2014-03-29,0,1,Guanya
190,FC Barcelona,At. Madrid,1-1,Lliga de Campions,Quarts,2014-04-01,1,1,Empata
191,FC Barcelona,Betis,3-1,La Liga,Jornada 32,2014-04-05,3,1,Guanya
192,At. Madrid,FC Barcelona,1-0,Lliga de Campions,Quarts,2014-04-09,1,0,Perd
193,Granada,FC Barcelona,1-0,La Liga,Jornada 33,2014-04-12,1,0,Perd
194,FC Barcelona,Reial Madrid,1-2,Copa del Rei,Final,2014-04-16,1,2,Perd
195,FC Barcelona,Ath. Club,2-1,La Liga,Jornada 34,2014-04-20,2,1,Guanya
196,Vila-real,FC Barcelona,2-3,La Liga,Jornada 35,2014-04-27,2,3,Guanya
197,FC Barcelona,Getafe,2-2,La Liga,Jornada 36,2014-05-03,2,2,Empata
198,Elx CF,FC Barcelona,0-0,La Liga,Jornada 37,2014-05-11,0,0,Empata
199,Girona,FC Barcelona,2-3,Supercopa de Catalunya,Semifinal,2014-05-13,2,3,Guanya
200,FC Barcelona,At. Madrid,1-1,La Liga,Jornada 38,2014-05-17,1,1,Empata
201,FC Barcelona,Espanyol,0-0,Supercopa de Catalunya,Final,2014-05-21,0,0,Empata
202,REC,FC Barcelona,0-1,Amistosos,Jornada 0,2014-07-19,0,1,Guanya
203,Niça,FC Barcelona,1-1,Amistosos,Jornada 0,2014-08-02,1,1,Empata
204,Nàpols,FC Barcelona,1-0,Amistosos,Jornada 0,2014-08-06,1,0,Perd
205,HEL,FC Barcelona,0-6,Amistosos,Jornada 0,2014-08-09,0,6,Guanya
206,FC Barcelona,LEO,6-0,Trofeu Joan Gamper,Jornada 0,2014-08-18,6,0,Guanya
207,FC Barcelona,Elx CF,3-0,La Liga,Jornada 1,2014-08-24,3,0,Guanya
208,Vila-real,FC Barcelona,0-1,La Liga,Jornada 2,2014-08-31,0,1,Guanya
209,FC Barcelona,Ath. Club,2-0,La Liga,Jornada 3,2014-09-13,2,0,Guanya
210,FC Barcelona,APOEL de Nicosia,1-0,Lliga de Campions,Fase de grups - F,2014-09-17,1,0,Guanya
211,Llevant,FC Barcelona,0-5,La Liga,Jornada 4,2014-09-21,0,5,Guanya
212,Màlaga,FC Barcelona,0-0,La Liga,Jornada 5,2014-09-24,0,0,Empata
213,FC Barcelona,Granada,6-0,La Liga,Jornada 6,2014-09-27,6,0,Guanya
214,PSG,FC Barcelona,3-2,Lliga de Campions,Fase de grups - F,2014-09-30,3,2,Perd
215,Rayo Vallecano,FC Barcelona,0-2,La Liga,Jornada 7,2014-10-04,0,2,Guanya
216,FC Barcelona,Eibar,3-0,La Liga,Jornada 8,2014-10-18,3,0,Guanya
217,FC Barcelona,Ajax,3-1,Lliga de Campions,Fase de grups - F,2014-10-21,3,1,Guanya
218,Reial Madrid,FC Barcelona,3-1,La Liga,Jornada 9,2014-10-25,3,1,Perd
219,FC Barcelona,Espanyol,1-1,Supercopa de Catalunya,Final,2014-10-29,1,1,Empata
220,FC Barcelona,Celta,0-1,La Liga,Jornada 10,2014-11-01,0,1,Perd
221,Ajax,FC Barcelona,0-2,Lliga de Campions,Fase de grups - F,2014-11-05,0,2,Guanya
222,Almeria,FC Barcelona,1-2,La Liga,Jornada 11,2014-11-08,1,2,Guanya
223,FC Barcelona,Sevilla,5-1,La Liga,Jornada 12,2014-11-22,5,1,Guanya
224,APOEL de Nicosia,FC Barcelona,0-4,Lliga de Campions,Fase de grups - F,2014-11-25,0,4,Guanya
225,València,FC Barcelona,0-1,La Liga,Jornada 13,2014-11-30,0,1,Guanya
226,Osca,FC Barcelona,0-4,Copa del Rei,4a ronda,2014-12-03,0,4,Guanya
227,FC Barcelona,Espanyol,5-1,La Liga,Jornada 14,2014-12-07,5,1,Guanya
228,FC Barcelona,PSG,3-1,Lliga de Campions,Fase de grups - F,2014-12-10,3,1,Guanya
229,Getafe,FC Barcelona,0-0,La Liga,Jornada 15,2014-12-13,0,0,Empata
230,FC Barcelona,Osca,8-1,Copa del Rei,4a ronda,2014-12-16,8,1,Guanya
231,FC Barcelona,Còrdova,5-0,La Liga,Jornada 16,2014-12-20,5,0,Guanya
232,R. Societat,FC Barcelona,1-0,La Liga,Jornada 17,2015-01-04,1,0,Perd
233,FC Barcelona,Elx CF,5-0,Copa del Rei,Vuitens,2015-01-08,5,0,Guanya
234,FC Barcelona,At. Madrid,3-1,La Liga,Jornada 18,2015-01-11,3,1,Guanya
235,Elx CF,FC Barcelona,0-4,Copa del Rei,Vuitens,2015-01-15,0,4,Guanya
236,Deportivo,FC Barcelona,0-4,La Liga,Jornada 19,2015-01-18,0,4,Guanya
237,FC Barcelona,At. Madrid,1-0,Copa del Rei,Quarts,2015-01-21,1,0,Guanya
238,Elx CF,FC Barcelona,0-6,La Liga,Jornada 20,2015-01-24,0,6,Guanya
239,At. Madrid,FC Barcelona,2-3,Copa del Rei,Quarts,2015-01-28,2,3,Guanya
240,FC Barcelona,Vila-real,3-2,La Liga,Jornada 21,2015-02-01,3,2,Guanya
241,Ath. Club,FC Barcelona,2-5,La Liga,Jornada 22,2015-02-08,2,5,Guanya
242,FC Barcelona,Vila-real,3-1,Copa del Rei,Semifinal,2015-02-11,3,1,Guanya
243,FC Barcelona,Llevant,5-0,La Liga,Jornada 23,2015-02-15,5,0,Guanya
244,FC Barcelona,Màlaga,0-1,La Liga,Jornada 24,2015-02-21,0,1,Perd
245,Manchester City,FC Barcelona,1-2,Lliga de Campions,Vuitens - Anada,2015-02-24,1,2,Guanya
246,Granada,FC Barcelona,1-3,La Liga,Jornada 25,2015-02-28,1,3,Guanya
247,Vila-real,FC Barcelona,1-3,Copa del Rei,Semifinal,2015-03-04,1,3,Guanya
248,FC Barcelona,Rayo Vallecano,6-1,La Liga,Jornada 26,2015-03-08,6,1,Guanya
249,Eibar,FC Barcelona,0-2,La Liga,Jornada 27,2015-03-14,0,2,Guanya
250,FC Barcelona,Manchester City,1-0,Lliga de Campions,Vuitens - Tornada,2015-03-18,1,0,Guanya
251,FC Barcelona,Reial Madrid,2-1,La Liga,Jornada 28,2015-03-22,2,1,Guanya
252,Celta,FC Barcelona,0-1,La Liga,Jornada 29,2015-04-05,0,1,Guanya
253,FC Barcelona,Almeria,4-0,La Liga,Jornada 30,2015-04-08,4,0,Guanya
254,Sevilla,FC Barcelona,2-2,La Liga,Jornada 31,2015-04-11,2,2,Empata
255,PSG,FC Barcelona,0-0,Lliga de Campions,Quarts,2015-04-16,0,0,Empata
256,FC Barcelona,València,2-0,La Liga,Jornada 32,2015-04-18,2,0,Guanya
257,FC Barcelona,PSG,2-0,Lliga de Campions,Quarts - Tornada,2015-04-21,2,0,Guanya
258,Espanyol,FC Barcelona,0-2,La Liga,Jornada 33,2015-04-25,0,2,Guanya
259,FC Barcelona,Getafe,6-0,La Liga,Jornada 34,2015-04-28,6,0,Guanya
260,Còrdova,FC Barcelona,0-8,La Liga,Jornada 35,2015-05-02,0,8,Guanya
261,FC Barcelona,Bayern,3-0,Lliga de Campions,Semifinal - Anada,2015-05-06,3,0,Guanya
262,FC Barcelona,R. Societat,2-0,La Liga,Jornada 36,2015-05-09,2,0,Guanya
263,Bayern,FC Barcelona,3-2,Lliga de Campions,Semifinal - Tornada,2015-05-12,3,2,Perd
264,At. Madrid,FC Barcelona,0-1,La Liga,Jornada 37,2015-05-17,0,1,Guanya
265,FC Barcelona,Deportivo,2-2,La Liga,Jornada 38,2015-05-23,2,2,Empata
266,Ath. Club,FC Barcelona,1-3,Copa del Rei,Final,2015-05-30,1,3,Guanya
267,Juventus,FC Barcelona,1-3,Lliga de Campions,Final,2015-06-06,1,3,Guanya
268,FC Barcelona,LAG,2-1,International Champions Cup,Fase de grups - A,2015-07-22,2,1,Guanya
269,FC Barcelona,Man. United,1-3,International Champions Cup,Fase de grups - A,2015-07-25,1,3,Perd
270,Chelsea,FC Barcelona,2-2,International Champions Cup,Fase de grups - A,2015-07-29,2,2,Empata
271,FRN,FC Barcelona,2-1,International Champions Cup,Fase de grups - A,2015-08-02,2,1,Perd
272,FC Barcelona,Roma,3-0,Trofeu Joan Gamper,Final,2015-08-05,3,0,Guanya
273,FC Barcelona,Sevilla,5-4,Supercopa d'Europa,Final,2015-08-11,5,4,Guanya
274,Ath. Club,FC Barcelona,4-0,Supercopa d'Espanya,Final,2015-08-14,4,0,Perd
275,FC Barcelona,Ath. Club,1-1,Supercopa d'Espanya,Final,2015-08-17,1,1,Empata
276,Ath. Club,FC Barcelona,0-1,La Liga,Jornada 1,2015-08-23,0,1,Guanya
277,FC Barcelona,Màlaga,1-0,La Liga,Jornada 2,2015-08-29,1,0,Guanya
278,At. Madrid,FC Barcelona,1-2,La Liga,Jornada 3,2015-09-12,1,2,Guanya
279,Roma,FC Barcelona,1-1,Lliga de Campions,Fase de grups - E,2015-09-16,1,1,Empata
280,FC Barcelona,Llevant,4-1,La Liga,Jornada 4,2015-09-20,4,1,Guanya
281,Celta,FC Barcelona,4-1,La Liga,Jornada 5,2015-09-23,4,1,Perd
282,FC Barcelona,Las Palmas,2-1,La Liga,Jornada 6,2015-09-26,2,1,Guanya
283,FC Barcelona,B. Leverkusen,2-1,Lliga de Campions,Fase de grups - E,2015-09-29,2,1,Guanya
284,Sevilla,FC Barcelona,2-1,La Liga,Jornada 7,2015-10-03,2,1,Perd
285,FC Barcelona,Rayo Vallecano,5-2,La Liga,Jornada 8,2015-10-17,5,2,Guanya
286,Bate Boríssov,FC Barcelona,0-2,Lliga de Campions,Fase de grups - E,2015-10-20,0,2,Guanya
287,FC Barcelona,Eibar,3-1,La Liga,Jornada 9,2015-10-25,3,1,Guanya
288,Villanovense,FC Barcelona,0-0,Copa del Rei,6a ronda,2015-10-28,0,0,Empata
289,Getafe,FC Barcelona,0-2,La Liga,Jornada 10,2015-10-31,0,2,Guanya
290,FC Barcelona,Bate Boríssov,3-0,Lliga de Campions,Fase de grups - E,2015-11-04,3,0,Guanya
291,FC Barcelona,Vila-real,3-0,La Liga,Jornada 11,2015-11-08,3,0,Guanya
292,Reial Madrid,FC Barcelona,0-4,La Liga,Jornada 12,2015-11-21,0,4,Guanya
293,FC Barcelona,Roma,6-1,Lliga de Campions,Fase de grups - E,2015-11-24,6,1,Guanya
294,FC Barcelona,R. Societat,4-0,La Liga,Jornada 13,2015-11-28,4,0,Guanya
295,FC Barcelona,Villanovense,6-1,Copa del Rei,6a ronda,2015-12-02,6,1,Guanya
296,València,FC Barcelona,1-1,La Liga,Jornada 14,2015-12-05,1,1,Empata
297,B. Leverkusen,FC Barcelona,1-1,Lliga de Campions,Fase de grups - E,2015-12-09,1,1,Empata
298,FC Barcelona,Deportivo,2-2,La Liga,Jornada 15,2015-12-12,2,2,Empata
299,FC Barcelona,Guangzhou,3-0,Mundial de Clubs,Semifinal,2015-12-17,3,0,Guanya
300,River Plate,FC Barcelona,0-3,Mundial de Clubs,Final,2015-12-20,0,3,Guanya
301,FC Barcelona,Betis,4-0,La Liga,Jornada 17,2015-12-30,4,0,Guanya
302,Espanyol,FC Barcelona,0-0,La Liga,Jornada 18,2016-01-02,0,0,Empata
303,FC Barcelona,Espanyol,4-1,Copa del Rei,Vuitens,2016-01-06,4,1,Guanya
304,FC Barcelona,Granada,4-0,La Liga,Jornada 19,2016-01-09,4,0,Guanya
305,Espanyol,FC Barcelona,0-2,Copa del Rei,Vuitens,2016-01-13,0,2,Guanya
306,FC Barcelona,Ath. Club,6-0,La Liga,Jornada 20,2016-01-17,6,0,Guanya
307,Ath. Club,FC Barcelona,1-2,Copa del Rei,Quarts,2016-01-20,1,2,Guanya
308,Màlaga,FC Barcelona,1-2,La Liga,Jornada 21,2016-01-23,1,2,Guanya
309,FC Barcelona,Ath. Club,3-1,Copa del Rei,Quarts,2016-01-27,3,1,Guanya
310,FC Barcelona,At. Madrid,2-1,La Liga,Jornada 22,2016-01-30,2,1,Guanya
311,FC Barcelona,València,7-0,Copa del Rei,Semifinal,2016-02-03,7,0,Guanya
312,Llevant,FC Barcelona,0-2,La Liga,Jornada 23,2016-02-07,0,2,Guanya
313,València,FC Barcelona,1-1,Copa del Rei,Semifinal,2016-02-10,1,1,Empata
314,FC Barcelona,Celta,6-1,La Liga,Jornada 24,2016-02-14,6,1,Guanya
315,Sporting,FC Barcelona,1-3,La Liga,Jornada 16,2016-02-17,1,3,Guanya
316,Las Palmas,FC Barcelona,1-2,La Liga,Jornada 25,2016-02-20,1,2,Guanya
317,Arsenal,FC Barcelona,0-2,Lliga de Campions,Vuitens,2016-02-23,0,2,Guanya
318,FC Barcelona,Sevilla,2-1,La Liga,Jornada 26,2016-02-28,2,1,Guanya
319,Rayo Vallecano,FC Barcelona,1-5,La Liga,Jornada 27,2016-03-03,1,5,Guanya
320,Eibar,FC Barcelona,0-4,La Liga,Jornada 28,2016-03-06,0,4,Guanya
321,FC Barcelona,Getafe,6-0,La Liga,Jornada 29,2016-03-12,6,0,Guanya
322,FC Barcelona,Arsenal,3-1,Lliga de Campions,Vuitens,2016-03-16,3,1,Guanya
323,Vila-real,FC Barcelona,2-2,La Liga,Jornada 30,2016-03-20,2,2,Empata
324,FC Barcelona,Reial Madrid,1-2,La Liga,Jornada 31,2016-04-02,1,2,Perd
325,FC Barcelona,At. Madrid,2-1,Lliga de Campions,Quarts,2016-04-05,2,1,Guanya
326,R. Societat,FC Barcelona,1-0,La Liga,Jornada 32,2016-04-09,1,0,Perd
327,At. Madrid,FC Barcelona,2-0,Lliga de Campions,Quarts,2016-04-13,2,0,Perd
328,FC Barcelona,València,1-2,La Liga,Jornada 33,2016-04-17,1,2,Perd
329,Deportivo,FC Barcelona,0-8,La Liga,Jornada 34,2016-04-20,0,8,Guanya
330,FC Barcelona,Sporting,6-0,La Liga,Jornada 35,2016-04-23,6,0,Guanya
331,Betis,FC Barcelona,0-2,La Liga,Jornada 36,2016-04-30,0,2,Guanya
